X,Y,SITE_NO,ROAD_NAME,LOCATION_DESC,TRAFFIC_YEAR,MON_SUN,MON_FRI,SAT_SUN,PCT_HEAVY_MON_SUN,PCT_HEAVY_MON_FRI,PCT_HEAVY_SAT_SUN,NETWORK_PERFORMANCE_SITE,LG_NO,LG_NAME,RA_NO,RA_NAME,OBJECTID,GlobalID
115.930835,-32.016194,5632,Albany Hwy,North of Wharf St,2025/26,44008,46839,35167,7.7,9.5,5.1,No,114,Canning (C),7,Metropolitan,7318438,{CD9ADB0B-5E93-43B8-893A-0FA1F34270A8}
115.858785,-32.076182,5747,Findlay Rd,North of Farrington Rd,2023/24,4528,4589,4156,3.1,3.8,1.9,No,119,Melville (C),7,Metropolitan,7318452,{947A7BAE-AE36-4CE4-A0E5-A47D02B96FB5}
115.798297,-31.8824319999999,5804,Karrinyup Rd,West of Mitchell Fwy,2025/26,40779,41268,37244,5.9,6.7,4.3,No,125,Stirling (C),7,Metropolitan,7318467,{82303E01-D529-4840-90FA-450BCBAA4FF2}
115.752957,-32.032839,5917,Stirling Hwy,North of Queen Victoria St,2020/21,29294,30908,24993,7.4,8.7,4.3,No,118,Fremantle (C),7,Metropolitan,7318480,{47591E3A-03EF-49C9-8F49-2E02D571CB0E}
115.882688,-32.0592859999999,5990,Burrendah Bvd,South of Pinetree Gully Rd,2023/24,6041,6018,5851,8.9,9.6,7.5,No,114,Canning (C),7,Metropolitan,7318491,{9258DC0C-7AA6-4405-B5BE-48575F850C87}
115.915897,-32.017327,6058,Braibrise Rd,South of Leach Hwy,2023/24,699,771,515,5,5.7,1.9,No,114,Canning (C),7,Metropolitan,7318508,{E0CB4C23-3D5D-4483-9D29-A171F8006055}
116.018991,-31.871483,6172,Toodyay Rd,East of Lloyd St,2021/22,5832,6463,4371,8.9,9.6,6.7,No,109,Swan (C),7,Metropolitan,7318528,{CB301FEC-BD0C-4927-AE28-E9F7E647BB02}
115.79106,-31.9562599999999,6280,Brockway Rd,North of Lemnos St,2023/24,10066,11235,7305,2.5,3,1.3,No,122,Nedlands (C),7,Metropolitan,7318541,{2EA0B994-CF9F-422E-9A0F-F9834864058B}
115.784058,-32.102475,6381,Spearwood Av,East of Rockingham Rd,2023/24,11134,11444,9964,8,9.3,5.8,No,103,Cockburn (C),7,Metropolitan,7318560,{F3DB6086-41B0-4134-945E-E1213149B901}
116.026351,-31.885893,6481,Morrison Rd,West of Roe Hwy,2023/24,17192,18219,14498,5.6,6.3,4,No,109,Swan (C),7,Metropolitan,7318575,{AEAEDD86-1F8F-4B08-82C9-89BA2DE07342}
